userId,age,country,language,educationLevel,isEducator,createdAt,learningPreferences_subjects,learningStyle,academicLevel,timePreferences,aiFeatures_interactionCount,aiFeatures_lastActive
user_00001,31.0,Canada,en,HighSchool,0.0,2025-01-21T05:33:34.719956,Chemistry,Visual,Advanced,Morning,23.0,2025-09-08T05:33:34.720972
user_00002,26.0,UK,en,HighSchool,0.0,2025-01-27T05:33:34.719956,History|Mathematics|Biology,Mixed,Intermediate,Afternoon,15.0,2025-09-26T05:33:34.721034
user_00003,40.0,Germany,ta,HighSchool,0.0,2025-03-06T05:33:34.719956,Design|Programming|English,Auditory,Beginner,Evening,25.0,2025-11-09T05:33:34.721092
user_00004,34.0,Sri Lanka,de,HighSchool,0.0,2024-12-01T05:33:34.719956,English|Mathematics|Art,Mixed,Beginner,Flexible,15.0,2025-11-12T05:33:34.721143
user_00005,29.0,Germany,ta,Other,0.0,2024-11-22T05:33:34.719956,Biology|Physics|Mathematics,Auditory,Intermediate,Morning,19.0,2025-10-24T05:33:34.721201
user_00006,16.0,Australia,en,PhD,0.0,2024-07-05T05:33:34.719956,Chemistry|Programming,Kinesthetic,Beginner,Evening,21.0,2025-08-25T05:33:34.721258
user_00007,20.0,Canada,es,HighSchool,0.0,2025-02-28T05:33:34.719956,Biology|Chemistry|Art,Reading/Writing,Intermediate,Afternoon,19.0,2025-08-27T05:33:34.721299
user_00008,16.0,USA,en,Bachelors,0.0,2024-12-16T05:33:34.719956,English|Physics,Auditory,Advanced,Evening,16.0,2025-10-26T05:33:34.721351
user_00009,23.0,Canada,de,PhD,0.0,2024-07-01T05:33:34.719956,Chemistry|English,Auditory,Beginner,Evening,21.0,2025-09-09T05:33:34.721406
user_00010,28.0,UK,fr,PhD,0.0,2025-03-17T05:33:34.719956,Art|Physics|Mathematics,Visual,Beginner,Afternoon,17.0,2025-08-27T05:33:34.721447
user_00011,23.0,UK,fr,HighSchool,0.0,2024-07-25T05:33:34.719956,Economics|English,Mixed,Beginner,Morning,14.0,2025-08-27T05:33:34.721502
