user_id,package_id,timestamp,user_age,user_language,user_academic_level,user_pref_subjects_count_match,user_last_active_days,user_interaction_count_30d,package_price,package_sessions,package_language_match,package_avg_rating,package_popularity_7d,text_similarity_score,generator_origin_popularity,generator_origin_cf,generator_origin_embedding,time_of_day_sin,day_of_week_cos,label
user_00522,pkg_0262,2025-08-01T01:57:47.774037,30,si,Beginner,0,53,3,234.0,5,0,4.87,17,-3.891,0,0,1,0.9454,0.1331,0.0
user_00522,pkg_0496,2025-10-02T09:53:29.911172,30,si,Beginner,0,53,6,41.86,4,1,4.3,21,-0.8447,0,0,0,0.7844,0.2835,0.05
user_00522,pkg_0221,2025-07-29T09:08:50.522196,30,si,Beginner,0,53,2,76.4,1,1,3.27,22,2.1824,1,0,1,0.9948,-0.3459,0.0
user_00522,pkg_0284,2025-07-10T16:17:25.274239,30,si,Beginner,0,53,3,118.46,5,0,3.81,22,-4.0935,0,0,1,-0.1401,-0.3293,0.0
user_00522,pkg_0404,2025-06-29T18:10:37.836193,30,si,Beginner,0,53,11,104.34,3,0,4.5,17,-4.3418,0,0,0,-0.9092,0.3039,0.0
user_00522,pkg_0168,2025-06-30T22:48:34.611021,30,si,Beginner,0,53,3,7.96,6,0,4.42,24,2.5152,0,0,0,0.8436,0.5192,0.0
user_00522,pkg_0032,2025-10-02T04:28:26.041469,30,si,Beginner,0,53,3,42.86,9,0,4.79,16,-2.4699,0,0,1,-0.9657,0.941,0.0
user_00522,pkg_0485,2025-08-23T17:16:18.073545,30,si,Beginner,0,53,5,300.0,10,0,4.09,22,0.015,1,0,1,-0.5329,-0.7231,0.05
user_00522,pkg_0241,2025-11-04T09:19:16.322434,30,si,Beginner,0,53,9,43.16,10,0,3.11,20,3.2799,0,0,1,-0.7581,-0.0977,0.0
user_00522,pkg_0222,2025-09-07T08:18:06.099027,30,si,Beginner,0,53,5,123.11,1,1,4.61,23,1.3248,0,0,1,-0.7935,0.8645,0.0
user_00522,pkg_0142,2025-09-30T14:50:03.190568,30,si,Beginner,0,53,9,300.0,4,0,4.15,14,-7.2232,0,0,1,0.2601,0.8163,0.2
user_00522,pkg_0301,2025-07-19T01:00:51.866621,30,si,Beginner,0,53,6,94.63,7,0,3.78,23,-5.5606,1,0,1,-0.9087,0.5154,0.0
user_00522,pkg_0184,2025-11-15T03:58:03.243917,30,si,Beginner,0,53,2,86.25,3,0,3.58,19,1.9107,0,0,1,0.9789,0.9307,0.0
user_00522,pkg_0060,2025-10-22T00:05:47.703285,30,si,Beginner,0,53,6,249.09,8,0,3.74,25,-4.1958,0,0,1,-0.646,0.6725,0.0
user_00522,pkg_0324,2025-08-13T00:27:33.490118,30,si,Beginner,0,53,2,300.0,8,0,4.58,23,2.8298,0,0,1,0.1641,-0.8541,0.0
user_00522,pkg_0093,2025-10-10T16:23:57.017084,30,si,Beginner,0,53,8,263.06,9,0,5.0,25,0.3531,0,0,1,0.7173,0.8205,0.0
user_00522,pkg_0196,2025-07-12T03:38:07.642973,30,si,Beginner,0,53,5,160.7,7,1,4.06,15,4.538,0,0,0,-0.9919,-0.4887,0.0
user_00522,pkg_0139,2025-10-03T16:39:36.247838,30,si,Beginner,0,53,5,300.0,7,0,5.0,12,0.705,0,0,1,0.9651,-0.9595,0.0
user_00522,pkg_0235,2025-10-23T07:04:03.197123,30,si,Beginner,0,53,4,109.75,11,0,4.23,11,-5.3913,0,0,1,-0.3504,0.0645,0.0
user_00522,pkg_0229,2025-07-05T06:56:32.213105,30,si,Beginner,0,53,5,70.17,3,0,3.6,17,-2.8115,0,0,0,-0.9296,-0.0114,0.0
user_00522,pkg_0191,2025-08-26T10:23:14.628402,30,si,Beginner,0,53,2,5.0,5,0,3.64,24,3.7723,1,0,0,0.9999,0.0539,0.0
user_00522,pkg_0054,2025-10-10T10:48:02.324234,30,si,Beginner,0,53,4,75.07,12,1,3.55,22,5.5542,0,0,0,0.9694,-0.4505,0.05
user_00522,pkg_0459,2025-11-03T20:17:06.474564,30,si,Beginner,0,53,4,52.12,5,0,3.97,22,-3.7845,0,0,1,0.5187,-0.9761,0.0
user_00522,pkg_0048,2025-07-03T07:46:59.673924,30,si,Beginner,0,53,11,30.83,12,0,4.12,22,2.5142,0,0,1,-0.55,0.5238,0.05
user_00522,pkg_0045,2025-06-06T06:21:16.601737,30,si,Beginner,0,53,9,5.0,11,0,4.65,18,6.8765,0,0,0,0.5354,-0.9475,0.0
user_00522,pkg_0219,2025-06-25T07:35:20.255483,30,si,Beginner,0,53,3,220.51,6,0,5.0,26,3.6881,0,0,1,-0.0052,0.9807,0.0
user_00522,pkg_0014,2025-08-04T11:12:07.056574,30,si,Beginner,0,53,4,14.88,10,0,3.74,34,-2.7231,0,0,0,-0.1151,0.9469,0.0
user_00522,pkg_0088,2025-08-23T13:53:46.542935,30,si,Beginner,1,53,4,17.21,12,0,4.38,24,2.2133,0,0,0,0.9992,-0.9787,0.0
user_00522,pkg_0140,2025-06-22T03:38:29.654562,30,si,Beginner,1,53,7,300.0,6,0,4.81,15,-0.6169,0,0,0,-0.9977,-0.4103,0.0
user_00522,pkg_0207,2025-11-05T19:42:32.654576,30,si,Beginner,0,53,5,39.65,2,1,3.36,21,-10.4193,0,0,1,0.9922,0.1768,0.0
user_00522,pkg_0363,2025-08-08T06:43:53.742786,30,si,Beginner,0,53,4,95.58,11,0,4.11,13,-3.0437,0,0,0,-0.0747,-0.769,0.0
user_00522,pkg_0348,2025-11-14T06:47:22.145741,30,si,Beginner,0,53,3,62.02,4,0,3.63,24,0.1894,0,0,0,0.5783,-0.1162,0.0
user_00522,pkg_0057,2025-06-19T09:38:35.114390,30,si,Beginner,0,53,6,300.0,9,1,3.62,20,1.1888,0,0,1,0.8048,-0.8453,0.0
